安顿 andun
哀伤 aishang
哀思 aisi
埃及 aiji
爱好 aihao
安详 anxiang
鹌鹑 anchun
暗号 anhao
肮脏 angzang
奥秘 aomi
八旗 baqi
疤痕 bahen
把关 baguan
霸权 baquan
白桦 baihua
白昼 baizhou
班长 banzhang
班车 banche
颁布 banbu
板凳 bandeng
半岛 bandao
版税 banshui
败北 baibei
孢子 baozi
报酬 baochou
奔走 benzou
本国 benguo
大清 daqing
编程 biancheng
闭关 biguan
庇护 bihu
避难 binan
编篡 biancuan
残骸 canhai
场所 changsuo
朝向 chaoxiang
朝霞 zhaoxia
唱腔 changqiang
赤道 chidao
传达 chuanda
春雷 chunlei
词性 cixing
春耕 chungeng
淳朴 chunpu
措辞 cuoci
当权 dangquan
刀口舔血 daokoutianxue
碘酒 dianjiu
兜售 doushou
杜甫 dufu
独白 dubai
坟墓 fenmu
负重 fuzhong
高产 gaochan
皇家 huangjia
会考 huikao
彗星 huixing
火花 huohua
激励 jili
漫天 mantian
